,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_delta_step,param_reg_alpha,param_reg_lambda,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,83.41659526824951,6.249823059522569,0.640614366531372,0.051012540076434985,0.05,1,0.25,0.25,"{'learning_rate': 0.05, 'max_delta_step': 1, 'reg_alpha': 0.25, 'reg_lambda': 0.25}",0.8509933774834437,0.8322295805739515,0.8316777041942605,0.826710816777042,0.8349889624724062,0.8454746136865342,0.8449227373068433,0.8360927152317881,0.842076200993926,0.83489784649365,0.8380064555213845,0.0071573686423221615,13
1,80.52354397773743,4.865505215743759,0.6584985256195068,0.0911455840907682,0.05,1,0.25,0.5,"{'learning_rate': 0.05, 'max_delta_step': 1, 'reg_alpha': 0.25, 'reg_lambda': 0.5}",0.8443708609271523,0.8294701986754967,0.8327814569536424,0.8272626931567328,0.8327814569536424,0.8377483443708609,0.8344370860927153,0.8289183222958058,0.8415240198785201,0.8343456653782441,0.8343640104682812,0.005214448731764533,77
2,73.51795482635498,3.5782499955585036,0.6116625785827636,0.05521536190317582,0.05,1,0.25,0.75,"{'learning_rate': 0.05, 'max_delta_step': 1, 'reg_alpha': 0.25, 'reg_lambda': 0.75}",0.8460264900662252,0.8327814569536424,0.8316777041942605,0.8239514348785872,0.8360927152317881,0.8388520971302428,0.8383002207505519,0.8322295805739515,0.8398674765323026,0.8371065709552733,0.8356885747266827,0.005635617394829989,65
3,78.07561202049256,2.408476633411112,0.6631714344024658,0.048004986363734674,0.05,1,0.5,0.25,"{'learning_rate': 0.05, 'max_delta_step': 1, 'reg_alpha': 0.5, 'reg_lambda': 0.25}",0.8493377483443708,0.8272626931567328,0.8349889624724062,0.8300220750551877,0.8416114790286976,0.8493377483443708,0.8416114790286976,0.8383002207505519,0.8415240198785201,0.8409718387631143,0.839496826482265,0.006856484575285198,2
4,88.465261220932,6.124423851662664,0.6988115072250366,0.08251353719358012,0.05,1,0.5,0.5,"{'learning_rate': 0.05, 'max_delta_step': 1, 'reg_alpha': 0.5, 'reg_lambda': 0.5}",0.8465783664459161,0.8316777041942605,0.8344370860927153,0.8305739514348786,0.8355408388520972,0.8427152317880795,0.83719646799117,0.8344370860927153,0.8371065709552733,0.842076200993926,0.8372339504841033,0.0048432072317561485,32
5,84.16018524169922,4.14796985184665,0.6778089523315429,0.08575370792096224,0.05,1,0.5,0.75,"{'learning_rate': 0.05, 'max_delta_step': 1, 'reg_alpha': 0.5, 'reg_lambda': 0.75}",0.8449227373068433,0.8305739514348786,0.8305739514348786,0.8283664459161147,0.8443708609271523,0.847682119205298,0.8438189845474614,0.8349889624724062,0.8448371065709552,0.8343456653782441,0.8384480785194232,0.006974042760833594,6
6,71.72776157855988,4.402662520930517,0.5445999383926392,0.034010835020187584,0.05,1,0.75,0.25,"{'learning_rate': 0.05, 'max_delta_step': 1, 'reg_alpha': 0.75, 'reg_lambda': 0.25}",0.8460264900662252,0.8344370860927153,0.8300220750551877,0.8300220750551877,0.8388520971302428,0.8416114790286976,0.8399558498896247,0.8316777041942605,0.8382109331860851,0.8393152954168968,0.8370131085115122,0.005039980567684437,37
7,74.07928097248077,4.320597276288707,0.5509259462356567,0.045904333269005594,0.05,1,0.75,0.5,"{'learning_rate': 0.05, 'max_delta_step': 1, 'reg_alpha': 0.75, 'reg_lambda': 0.5}",0.8509933774834437,0.8250551876379691,0.8338852097130243,0.8261589403973509,0.8333333333333334,0.8460264900662252,0.8405077262693157,0.8311258278145696,0.8365543898398675,0.8365543898398675,0.8360194872394967,0.007734589462262816,59
8,73.38278925418854,3.5563811481640117,0.5488221883773804,0.08505115536473064,0.05,1,0.75,0.75,"{'learning_rate': 0.05, 'max_delta_step': 1, 'reg_alpha': 0.75, 'reg_lambda': 0.75}",0.8443708609271523,0.8322295805739515,0.8305739514348786,0.8222958057395143,0.8377483443708609,0.8405077262693157,0.8443708609271523,0.8316777041942605,0.8398674765323026,0.8415240198785201,0.836516633084791,0.006756236004060724,48
9,78.42044429779052,4.246959009850498,0.6707642793655395,0.06020739830103363,0.05,2,0.25,0.25,"{'learning_rate': 0.05, 'max_delta_step': 2, 'reg_alpha': 0.25, 'reg_lambda': 0.25}",0.8454746136865342,0.8278145695364238,0.8344370860927153,0.8289183222958058,0.8366445916114791,0.8438189845474614,0.8405077262693157,0.8399558498896247,0.8442849254555495,0.8326891220320265,0.8374545791416936,0.006044226132983796,25
10,77.68646216392517,2.8967043146506364,0.6772566318511963,0.06586813292899317,0.05,2,0.25,0.5,"{'learning_rate': 0.05, 'max_delta_step': 2, 'reg_alpha': 0.25, 'reg_lambda': 0.5}",0.8443708609271523,0.8322295805739515,0.8416114790286976,0.8305739514348786,0.8344370860927153,0.8493377483443708,0.8432671081677704,0.8410596026490066,0.8415240198785201,0.8393152954168968,0.8397726732513959,0.005505834094844059,1
11,78.07323639392852,4.008002318648488,0.6314976930618286,0.05346403643433439,0.05,2,0.25,0.75,"{'learning_rate': 0.05, 'max_delta_step': 2, 'reg_alpha': 0.25, 'reg_lambda': 0.75}",0.8449227373068433,0.8344370860927153,0.8344370860927153,0.8322295805739515,0.83719646799117,0.8465783664459161,0.8366445916114791,0.8355408388520972,0.8437327443401436,0.8382109331860851,0.8383930432493116,0.004691411341316503,7
